ID,Epic,Task,Sub-task,Title,Description,Owner,Priority,Week,Duration (days),Dependencies,Status,Notes
E1,E1 – UI/UX Design,,,UI/UX Design & Asset Creation,"Complete visual design system, screen mockups, frame templates, design themes, and graphic assets",GD,P0,1–3,10,,Not Started,Blocks E4
,E1 – UI/UX Design,1.1 Design System & Style Guide,,Design System & Style Guide,"Design tokens, typography, color palette, spacing",GD,P0,1,2,,Not Started,
,,1.1 Design System & Style Guide,1.1.1,Color Palette,"Define primary, secondary, accent, background, surface, text colors for light and event-themed modes",GD,P0,1,0.5,,Not Started,
,,1.1 Design System & Style Guide,1.1.2,Typography Selection,"Select heading and body fonts (touch-friendly, high readability at arm's length)",GD,P0,1,0.5,,Not Started,
,,1.1 Design System & Style Guide,1.1.3,"Spacing, Radii, Shadows","Define spacing scale, border radii, shadow styles",GD,P0,1,0.25,,Not Started,
,,1.1 Design System & Style Guide,1.1.4,Touch Targets & Buttons,"Define minimum 48px touch targets, button styles (primary, secondary, ghost)",GD,P0,1,0.25,,Not Started,
,,1.1 Design System & Style Guide,1.1.5,Motion & Animation Guidelines,"Create transition durations, easing curves, entrance/exit patterns",GD,P0,1,0.5,,Not Started,
,E1 – UI/UX Design,1.2 Screen Mockups (HiFi),,Screen Mockups (High-Fidelity),High-fidelity mockups for all 9 screens + error/loading states,GD,P0,1–2,4,1.1,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.1,Attract Screen Mockup,"Idle animation/video loop concept, CTA prompt, event branding overlay area",GD,P0,1,0.5,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.2,Onboarding Screen Mockup,"3–4 tutorial card designs with illustrations, page indicator, Skip/Next/Start buttons",GD,P0,1,0.5,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.3,Payment Screen Mockup,"QRIS tab (QR code, status), Cash tab (amount counter, remaining), payment method toggle",GD,P0,1–2,0.5,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.4,Capture Setup Screen Mockup,"Full-screen camera preview layout, frame guide overlay, ""I'm Ready!"" button",GD,P0,1–2,0.25,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.5,Camera Capture Screen Mockup,"Countdown overlay (3-2-1), photo progress indicator, capture flash effect, thumbnail preview",GD,P0,1–2,0.5,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.6,Customization Screen Mockup,"Layout picker, design picker, photo grid, filter picker, retake icon, live preview, ""Looks Great!"" button",GD,P0,2,0.5,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.7,Print Preview Screen Mockup,"Final composite at print proportions, ""Print My Photos!"" + ""Go Back & Edit"" buttons",GD,P0,2,0.25,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.8,Print Result & QR Screen Mockup,"Print progress indicator, QR code display area, download URL expiry note",GD,P0,2,0.25,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.9,Session Complete Screen Mockup,"Thank-you message, auto-reset countdown animation",GD,P0,2,0.25,,Not Started,
,,1.2 Screen Mockups (HiFi),1.2.10,Error / Loading States Mockups,"Camera disconnected overlay, printer error, payment timeout, generic loading spinner",GD,P0,2,0.5,,Not Started,
,E1 – UI/UX Design,1.3 Frame Layout & Design Templates,,Frame Layout & Design Templates,Print-ready layout templates and design themes,GD,P0,2,2,1.1,Not Started,
,,1.3 Frame Layout & Design Templates,1.3.1,Frame Layout Designs (5),"strip_vertical (2×6""), strip_horizontal, grid_2x2 (4×6""), collage_1_3, single_large",GD,P0,2,1,,Not Started,
,,1.3 Frame Layout & Design Templates,1.3.2,Frame Design Themes (4–6),"Borders, backgrounds, overlays — e.g. Floral, Minimalist, Retro, Party, Elegant",GD,P0,2,0.5,,Not Started,
,,1.3 Frame Layout & Design Templates,1.3.3,Export Layout Config + Assets,"JSON config (slot positions, dimensions, rotation) + design assets as PNG/SVG layers",GD,P0,2,0.25,,Not Started,
,,1.3 Frame Layout & Design Templates,1.3.4,Layout Preview Thumbnails,Create thumbnails for Customization screen picker,GD,P0,2,0.25,,Not Started,
,E1 – UI/UX Design,1.4 Graphic Assets & Illustrations,,Graphic Assets & Illustrations,All graphic assets and illustrations,GD,P0,2–3,2,"1.1; 1.2",Not Started,
,,1.4 Graphic Assets & Illustrations,1.4.1,Onboarding Illustrations,"3–4 cards: Strike a Pose, Customize, Print & Download, Let's Go",GD,P0,2–3,0.5,,Not Started,
,,1.4 Graphic Assets & Illustrations,1.4.2,Icon Set,"Filter icons (Original, B&W, Sepia, Warm, Cool, Vintage), retake icon, layout thumbnails",GD,P0,2–3,0.5,,Not Started,
,,1.4 Graphic Assets & Illustrations,1.4.3,Attract Screen Animation,Idle animation or looping video concept,GD,P0,2–3,0.5,,Not Started,
,,1.4 Graphic Assets & Illustrations,1.4.4,Countdown & Flash Assets,"Countdown number animations (3, 2, 1) and capture flash effect asset",GD,P0,3,0.25,,Not Started,
,,1.4 Graphic Assets & Illustrations,1.4.5,Error & Placeholder Assets,Default event logo placeholder and printer/camera error illustration,GD,P1,3,0.25,,Not Started,
E2,E2 – Backend Completion,,,Backend Completion,"Extend Python backend: 13-state FSM, payment, preview streaming, customization, updated DB",FSD,P0,1–2,10,,Not Started,Critical Path
,E2 – Backend Completion,2.1 Extend FSM to 13 States,,Extend FSM to 13 States,Updated FSM with all PRD-defined states and transitions,FSD,P0,1,2,,Not Started,Modifies core/state_machine.py
,,2.1 Extend FSM to 13 States,2.1.1,Add Missing States,"Add ONBOARDING, AWAITING_PAYMENT, CAPTURE_SETUP, CUSTOMIZATION, PREVIEW, COMPLETE to State enum",FSD,P0,1,0.5,,Not Started,
,,2.1 Extend FSM to 13 States,2.1.2,Add Missing Triggers,"Add onboarding_done, payment_confirmed, payment_failed, payment_cancelled, capture_setup_ready, capture_setup_timeout, all_photos_done, retake_requested, customization_done, back_to_customize, print_requested etc.",FSD,P0,1,0.5,,Not Started,
,,2.1 Extend FSM to 13 States,2.1.3,Update Transition Table,Update TRANSITIONS dict with all PRD §3.2 state transition pairs,FSD,P0,1,0.5,,Not Started,
,,2.1 Extend FSM to 13 States,2.1.4,Update FSM Tests,Update tests/test_state_machine.py to cover all new transitions,FSD,P0,1,0.5,,Not Started,
,E2 – Backend Completion,2.2 Update Database Models,,Update Database Models,Updated ORM models matching PRD §5.2,FSD,P0,1,1,,Not Started,Modifies db/models.py
,,2.2 Update Database Models,2.2.1,Add Payment Model,"id, session_id, method, amount_target, amount_received, status, qr_code_data, transaction_ref, etc.",FSD,P0,1,0.25,,Not Started,
,,2.2 Update Database Models,2.2.2,Add FrameConfig Model,"id, session_id, layout_id, design_id, photo_order_json, custom_text",FSD,P0,1,0.25,,Not Started,
,,2.2 Update Database Models,2.2.3,Extend Session Model,"Add photos_target, layout_id, design_id, composite_path, download_token, download_expires_at",FSD,P0,1,0.1,,Not Started,
,,2.2 Update Database Models,2.2.4,Extend Media Model,"Add slot_index, filter_id, is_retake, retake_of, retake_count",FSD,P0,1,0.1,,Not Started,
,,2.2 Update Database Models,2.2.5,Extend SyncJob Model,Add session_id FK,FSD,P0,1,0.1,,Not Started,
,,2.2 Update Database Models,2.2.6,Update DB Tests,Update tests/test_database.py to cover new models,FSD,P0,1,0.2,,Not Started,
